tconst,V1,ID,Title,Year,Age,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,IMDb_catalog_2021,IMDb_rating_2026,IMDb_ratecount_2026,imdb_title_type,Match_Confidence_Current,rating_change,IMDb_rating_2021,IMDb_ratecount_2021,rating_change_2021_2026,ratecount_change_2021_2026,n_platforms,exclusive
tt4981448,4246,4542,Nikola Tesla and the End of the World,2015,"",4.9/10,36/100,0,0,1,0,1,4.9,4.8,58,tvSeries,Exact (title + year),-0.100000000000001,4.9,48,-0.100000000000001,10,1,TRUE
tt4991910,1193,1196,The Deep,2016,7+,7.9/10,48/100,1,0,0,0,1,7.9,7.8,1156,tvSeries,"Fuzzy (title exact, year +-1)",-0.100000000000001,7.9,557,-0.100000000000001,599,1,TRUE
tt4998212,364,366,The Ranch,2016,16+,7.5/10,67/100,1,0,0,0,1,7.5,7.4,45772,tvSeries,Exact (title + year),-0.0999999999999996,7.5,34735,-0.0999999999999996,11037,1,TRUE
tt5008688,4102,4392,Gotthard,2016,"",6.5/10,40/100,0,0,1,0,1,6.5,6.5,328,tvSeries,Exact (title + original-language year),0,6.5,233,0,95,1,TRUE
tt5011816,3481,3637,Sneaky Pete,2015,18+,8.1/10,79/100,0,0,1,0,1,8.1,8,48811,tvSeries,Exact (title + year),-0.0999999999999996,8.1,31852,-0.0999999999999996,16959,1,TRUE
tt5012346,4056,4341,Date My Dad,2017,all,7.1/10,42/100,0,0,1,0,1,7.1,6.8,416,tvSeries,Exact (title + year),-0.3,7.2,307,-0.4,109,1,TRUE
tt5014882,3537,3719,The Durrells,2016,7+,8.2/10,69/100,0,0,1,0,1,8.2,8.2,16905,tvSeries,Exact (title + year),0,8.2,8999,0,7906,1,TRUE
tt5016504,2019,2049,Preacher,2016,18+,8.0/10,80/100,0,1,1,0,1,8,7.9,87282,tvSeries,Exact (title + year),-0.0999999999999996,8,69377,-0.0999999999999996,17905,2,FALSE
tt5016516,2950,3075,The New Adventures of Figaro Pho,2015,all,7.3/10,45/100,0,1,0,0,1,7.3,8,66,tvSeries,Exact (title + year),0.7,7.3,43,0.7,23,1,TRUE
tt5021206,965,968,The Mr. Peabody & Sherman Show,2015,7+,5.8/10,53/100,1,0,0,0,1,5.8,5.8,692,tvSeries,Exact (title + year),0,5.8,364,0,328,1,TRUE
tt5022298,1506,1512,Ice Fantasy,2016,16+,7.1/10,42/100,1,0,0,0,1,7.1,6.7,705,tvSeries,Exact (title + year),-0.399999999999999,7.2,541,-0.5,164,1,TRUE
tt5023626,4937,5256,The Coeds,2015,"","",10/100,0,0,1,0,1,,8.2,22,tvSeries,Exact (title + year),,8.2,20,0,2,1,TRUE
tt5023972,1325,1328,Lost & Found Music Studios,2015,all,6.8/10,46/100,1,0,0,0,1,6.8,6.6,745,tvSeries,Exact (title + year),-0.2,6.8,549,-0.2,196,1,TRUE
tt5028002,163,164,StartUp,2016,18+,7.9/10,77/100,1,0,0,0,1,7.9,7.8,32968,tvSeries,Exact (title + year),-0.100000000000001,8,18281,-0.2,14687,1,TRUE
tt5028280,4763,5081,SMOSH Babies,2013,"","",13/100,0,0,1,0,1,,4.3,184,tvSeries,Exact (title + year),,4.3,132,0,52,1,TRUE
tt5037152,4673,4989,Beginnings,2016,"","",13/100,0,0,1,0,1,,4.8,53,tvSeries,"Fuzzy (title exact, year +-1)",,4.6,46,0.2,7,1,TRUE
tt5038858,844,847,Case,2015,16+,7.1/10,55/100,1,0,0,0,1,7.1,7.1,2967,tvSeries,Exact (title + year),0,7.1,2324,0,643,1,TRUE
tt5038900,1472,1478,Legend Quest,2017,7+,7.4/10,43/100,1,0,0,0,1,7.4,7.3,631,tvSeries,Exact (title + year),-0.100000000000001,7.4,403,-0.100000000000001,228,1,TRUE
tt5045900,3700,3932,She Was Pretty,2015,"",7.7/10,55/100,0,0,1,0,1,7.7,7.5,7794,tvSeries,Exact (title + year),-0.2,7.7,3884,-0.2,3910,1,TRUE
tt5050548,4480,4782,Ultimate Wheels,2014,"",5.1/10,25/100,0,0,1,0,1,5.1,5.7,15,tvSeries,"Fuzzy (title exact, year +-1)",0.600000000000001,5.1,7,0.600000000000001,8,1,TRUE
tt5052460,2300,2362,Taken,2017,18+,6.6/10,66/100,0,1,0,0,1,6.6,6.6,12518,tvSeries,Exact (title + year),0,6.6,9784,0,2734,1,TRUE
tt5053036,1783,1791,Singles Villa,2015,"",7.6/10,35/100,1,0,0,0,1,7.6,7.4,37,tvSeries,Exact (title + year),-0.199999999999999,7.6,23,-0.199999999999999,14,1,TRUE
tt5056196,2130,2169,Catch-22,2019,18+,7.8/10,73/100,0,1,1,0,1,7.8,7.7,23875,tvMiniSeries,Exact (title + year),-0.0999999999999996,7.8,15671,-0.0999999999999996,8204,2,FALSE
tt5059866,3776,4022,Himouto! Umaru-chan,2015,16+,7.0/10,52/100,0,0,1,0,1,7,7.1,2344,tvSeries,Exact (title + year),0.0999999999999996,7.1,1173,0,1171,1,TRUE
tt5066664,741,744,Cannon Busters,2019,18+,6.8/10,57/100,1,0,0,0,1,6.8,6.6,1548,tvSeries,Exact (title + year),-0.2,6.8,1004,-0.2,544,1,TRUE
tt5071412,19,20,Ozark,2017,18+,8.4/10,89/100,1,0,0,0,1,8.4,8.4,396146,tvSeries,Exact (title + year),0,8.4,201029,0,195117,1,TRUE
tt5074678,4213,4509,Hot Girl,2016,"",7.0/10,37/100,0,0,1,0,1,7,7,260,tvMiniSeries,Exact (title + year),0,6.9,43,0.0999999999999996,217,1,TRUE
tt5075360,1122,1125,Murder Maps,2015,16+,7.5/10,50/100,1,0,0,0,1,7.5,7.5,693,tvSeries,Exact (title + year),0,7.5,475,0,218,1,TRUE
tt5075942,1601,1607,Lego Bionicle: The Journey to One,2016,7+,5.5/10,40/100,1,0,0,0,1,5.5,5.3,295,tvSeries,Exact (title + year),-0.2,5.6,149,-0.3,146,1,TRUE
tt5079178,2899,3022,The Kennedys,2015,7+,7.3/10,47/100,0,1,0,0,1,7.3,7.2,790,tvSeries,Exact (title + year),-0.0999999999999996,7.3,581,-0.0999999999999996,209,1,TRUE
tt5093452,2370,2442,Shots Fired,2017,16+,6.5/10,63/100,0,1,0,0,1,6.5,6.8,2557,tvSeries,Exact (title + year),0.3,6.5,2041,0.3,516,1,TRUE
tt5093964,3207,3339,Fujiko,2015,"",8.4/10,34/100,0,1,0,0,1,8.4,8.4,30,tvMiniSeries,Exact (title + year),0,8.4,14,0,16,1,TRUE
tt5094068,3817,4070,Einstein,2017,"",6.5/10,50/100,0,0,1,0,1,6.5,6.5,485,tvSeries,Exact (title + year),0,6.5,265,0,220,1,TRUE
tt5095466,2693,2798,The Asterisk War,2015,16+,6.9/10,54/100,0,1,0,0,1,6.9,6.8,3052,tvSeries,Exact (title + year),-0.100000000000001,6.9,1630,-0.100000000000001,1422,1,TRUE
tt5100366,2551,2648,Chivalry of a Failed Knight,2015,18+,7.4/10,58/100,0,1,0,0,1,7.4,7.2,5955,tvMiniSeries,Exact (title + year),-0.2,7.4,2560,-0.2,3395,1,TRUE
tt5103758,898,901,Troy: Fall of a City,2018,18+,3.8/10,54/100,1,0,0,0,1,3.8,4.2,16667,tvSeries,Exact (title + year),0.4,3.8,12669,0.4,3998,1,TRUE
tt5113032,1311,1314,Witch Hunt: A Century of Murder,2015,18+,7.2/10,46/100,1,0,0,0,1,7.2,7.2,375,tvSeries,Exact (title + year),0,7.2,269,0,106,1,TRUE
tt5114356,1988,2007,Legion,2017,18+,8.2/10,84/100,0,1,0,0,1,8.2,8.1,104205,tvSeries,Exact (title + year),-0.0999999999999996,8.2,84178,-0.0999999999999996,20027,1,TRUE
