title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_distinct_seasons,tconst,imdb_title_type
Breaking Bad,2008,18+,9.4,100/100,0,0,0,1,TRUE,1527259,850500000,36400000,FALSE,FALSE,,5,tt0903747,tvSeries
The Innocent Man,2018,18+,7.3,65/100,0,0,0,1,TRUE,5247,7000000,700000,TRUE,TRUE,2018-12-14,1,tt0914376,tvMiniSeries
Gurren Lagann,2007,16+,8.3,66/100,0,0,0,1,TRUE,15360,100000,,FALSE,FALSE,,1,tt0948103,tvSeries
Shaun the Sheep,2007,all,8.2,65/100,0,1,0,2,FALSE,12571,13600000,2600000,FALSE,FALSE,,2,tt0983983,tvSeries
Horrid Henry,2006,7+,6.4,44/100,0,1,0,2,FALSE,711,26300000,1400000,FALSE,FALSE,,5,tt0985991,tvSeries
Code Geass: Lelouch of the Rebellion,2006,18+,8.7,72/100,0,0,0,1,TRUE,54471,3700000,100000,FALSE,FALSE,,2,tt0994314,tvSeries
Blood of Zeus,2020,"",7.5,62/100,0,0,0,1,TRUE,13487,8200000,900000,TRUE,TRUE,2020-10-27,1,tt10009170,tvSeries
My Husband Won't Fit,2019,"",6.7,46/100,0,0,0,1,TRUE,677,2000000,200000,TRUE,TRUE,2019-03-20,1,tt10027946,tvSeries
Gentefied,2020,16+,7.4,60/100,0,0,0,1,TRUE,1741,5400000,300000,TRUE,TRUE,2020-02-21,2,tt10037034,tvSeries
You vs. Wild,2019,"",7,55/100,0,0,0,1,TRUE,2291,16500000,3100000,TRUE,TRUE,2019-04-10,1,tt10044952,tvSeries
The Queen's Gambit,2020,18+,8.6,92/100,0,0,0,1,TRUE,322175,83000000,5600000,TRUE,TRUE,2020-10-23,1,tt10048342,tvMiniSeries
Followers,2020,18+,6.2,42/100,0,0,0,1,TRUE,417,1200000,100000,TRUE,TRUE,2020-02-27,1,tt10049610,tvSeries
Mighty Little Bheem,2019,all,6.7,44/100,0,0,0,1,TRUE,199,53100000,11500000,TRUE,TRUE,2019-04-12,3,tt10050752,tvSeries
I Think You Should Leave with Tim Robinson,2019,18+,7.8,81/100,0,0,0,1,TRUE,6275,27400000,8400000,TRUE,TRUE,2019-04-23,3,tt10050772,tvSeries
Abyss,2019,16+,7.1,53/100,0,0,0,1,TRUE,1398,24000000,800000,TRUE,TRUE,2019-05-06,1,tt10055734,tvSeries
