title,year,age,imdb_rating_catalog_2021,rotten_tomatoes,hulu,prime_video,disney_plus,n_platforms,exclusive,imdb_ratecount_2021,hours_viewed_2023,views_2023,available_globally_ever,available_globally_always,release_date_earliest,n_distinct_seasons,tconst,imdb_title_type
Criminal: France,2019,7+,7.2,52/100,0,0,0,1,TRUE,3505,1200000,300000,TRUE,TRUE,2019-09-20,1,tt10986052,tvMiniSeries
Criminal: Germany,2019,"",,42/100,0,0,0,1,TRUE,4490,1800000,400000,TRUE,TRUE,2019-09-20,1,tt10986056,tvMiniSeries
Nailed It! France,2019,16+,6.4,37/100,0,0,0,1,TRUE,95,800000,100000,TRUE,TRUE,2019-10-25,1,tt10990804,tvSeries
BEASTARS,2019,18+,7.8,67/100,0,0,0,1,TRUE,6744,12800000,1400000,TRUE,TRUE,2019-10-07,2,tt11043632,tvSeries
Move to Heaven,2021,"",8.7,62/100,0,0,0,1,TRUE,1730,33500000,1700000,TRUE,TRUE,2021-05-14,1,tt11052470,tvMiniSeries
We Are the Wave,2019,18+,6.1,52/100,0,0,0,1,TRUE,2333,2500000,200000,TRUE,TRUE,2019-11-01,1,tt11053220,tvSeries
My Holo Love,2020,"",7.7,48/100,0,0,0,1,TRUE,1706,28600000,1100000,TRUE,TRUE,2020-02-07,1,tt11058644,tvMiniSeries
Unnatural Selection,2019,"",8,54/100,0,0,0,1,TRUE,1635,1300000,100000,TRUE,TRUE,2019-10-18,1,tt11063952,tvSeries
The Iliza Shlesinger Sketch Show,2020,18+,5,40/100,0,0,0,1,TRUE,796,200000,100000,TRUE,TRUE,2020-04-01,1,tt11092086,tvSeries
Katla,2021,18+,7.1,70/100,0,0,0,1,TRUE,260,12600000,800000,TRUE,TRUE,2021-06-17,1,tt11102190,tvSeries
Unstoppable,2020,18+,7.3,49/100,1,0,0,2,FALSE,770,2700000,300000,TRUE,TRUE,2020-02-28,1,tt11120674,tvMiniSeries
Kissing Game,2020,18+,6.4,52/100,0,0,0,1,TRUE,642,100000,,TRUE,TRUE,2020-07-17,1,tt11131962,tvSeries
Nobody's Looking,2019,18+,7.8,52/100,0,0,0,1,TRUE,1536,2200000,300000,TRUE,TRUE,2019-11-22,1,tt11131980,tvSeries
Dorohedoro,2020,18+,8.2,64/100,0,0,0,1,TRUE,5759,5700000,500000,TRUE,TRUE,2020-01-11,1,tt11147852,tvSeries
Little Singham,2018,"",3.6,43/100,0,0,0,1,TRUE,55,1000000,,FALSE,FALSE,,1,tt11151836,tvSeries
A Little Thing Called First Love,2019,all,8,53/100,0,1,0,2,FALSE,252,10000000,200000,TRUE,TRUE,,1,tt11152058,tvSeries
The Disastrous Life of Saiki K.: Reawakened,2019,"",7.9,51/100,0,0,0,1,TRUE,1050,4700000,1000000,TRUE,TRUE,2019-12-30,1,tt11163352,tvSeries
The Devil Next Door,2019,18+,7.6,70/100,0,0,0,1,TRUE,11003,7800000,1100000,TRUE,TRUE,2019-11-04,1,tt11165002,tvMiniSeries
Maradona in Mexico,2019,"",7.2,43/100,0,0,0,1,TRUE,1000,800000,100000,TRUE,TRUE,2019-11-13,1,tt11168104,tvMiniSeries
Sugar Rush Christmas,2019,"",6.9,45/100,0,0,0,1,TRUE,451,10400000,1500000,TRUE,TRUE,2019-11-29,2,tt11168116,tvSeries
Broken,2019,16+,6.9,52/100,0,0,0,1,TRUE,931,6200000,700000,TRUE,TRUE,2019-11-27,1,tt11168226,tvSeries
Singapore Social,2019,"",5.1,31/100,0,0,0,1,TRUE,511,400000,,TRUE,TRUE,2019-11-22,1,tt11194508,tvSeries
Narcoworld: Dope Stories,2019,"",6.6,41/100,0,0,0,1,TRUE,272,3800000,600000,TRUE,TRUE,2019-11-22,1,tt11215112,tvSeries
No Time for Shame,2019,"",5.7,29/100,0,0,0,1,TRUE,72,100000,,FALSE,FALSE,2019-11-19,1,tt11215130,tvMiniSeries
The King: Eternal Monarch,2020,16+,8.3,66/100,0,0,0,1,TRUE,7537,71700000,1600000,TRUE,TRUE,2020-04-17,1,tt11228748,tvSeries
Magical Andes,2019,"",7.8,48/100,0,0,0,1,TRUE,427,3400000,700000,FALSE,FALSE,2019-10-14,2,tt11229002,tvSeries
Itaewon Class,2020,"",8.2,62/100,0,0,0,1,TRUE,7406,54200000,1300000,TRUE,TRUE,2020-01-31,1,tt11239552,tvSeries
Holiday Secrets,2019,16+,6.5,44/100,0,0,0,1,TRUE,963,800000,300000,TRUE,TRUE,2019-11-20,1,tt11243536,tvMiniSeries
Once Upon a Time in Lingjian Mountain,2019,all,7.7,43/100,0,0,0,1,TRUE,197,3700000,100000,FALSE,FALSE,,1,tt11261994,tvSeries
Who Killed Little Gregory?,2019,"",7.4,55/100,0,0,0,1,TRUE,2408,2800000,300000,TRUE,TRUE,2019-11-20,1,tt11269714,tvMiniSeries
Summertime,2020,18+,5.5,57/100,1,0,0,2,FALSE,1898,12900000,900000,TRUE,TRUE,2020-04-29,3,tt11269886,tvSeries
My Dear Warrior,2019,"",3.9,33/100,0,0,0,1,TRUE,15,200000,,TRUE,TRUE,,1,tt11281912,tvSeries
Ethos,2020,"",8.6,63/100,0,0,0,1,TRUE,22952,2100000,200000,TRUE,TRUE,2020-11-12,1,tt11301642,tvSeries
Crazy Delicious,2020,7+,6.7,52/100,0,0,0,1,TRUE,725,4000000,400000,TRUE,TRUE,2020-06-24,1,tt11301834,tvSeries
The Confession Killer,2019,16+,7.4,68/100,0,0,0,1,TRUE,7327,4500000,500000,TRUE,TRUE,2019-12-06,1,tt11307176,tvMiniSeries
Big Time Rush,2009,all,6.4,63/100,1,1,0,3,FALSE,10616,10100000,100000,FALSE,FALSE,,4,tt1131746,tvSeries
Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8,74/100,0,0,0,1,TRUE,41656,7000000,1100000,TRUE,TRUE,2019-12-18,1,tt11318602,tvMiniSeries
Caliphate,2020,18+,8.2,68/100,0,0,0,1,TRUE,14771,11200000,1000000,TRUE,TRUE,2020-03-18,1,tt11398870,tvSeries
Yanxi Palace: Princess Adventures,2019,"",5.8,38/100,0,0,0,1,TRUE,225,2100000,200000,TRUE,TRUE,2019-12-31,1,tt11399844,tvSeries
Drifting Dragons,2020,"",6,45/100,0,0,0,1,TRUE,471,1700000,200000,TRUE,FALSE,2020-01-08,1,tt11418344,tvSeries
Cheer,2020,16+,8.1,70/100,0,0,0,1,TRUE,4190,10100000,600000,TRUE,TRUE,2020-01-08,2,tt11426660,tvSeries
Little Baby Bum: Nursery Rhyme Friends,2016,all,6.7,36/100,0,0,0,1,TRUE,26,78600000,8400000,TRUE,TRUE,,2,tt11460334,tvSeries
Nailed It! Germany,2020,"",5.8,35/100,0,0,0,1,TRUE,84,200000,,TRUE,TRUE,2020-01-17,1,tt11460744,tvSeries
Killer Inside: The Mind of Aaron Hernandez,2020,18+,7.4,67/100,0,0,0,1,TRUE,14367,9800000,1600000,TRUE,TRUE,2020-01-15,1,tt11475228,tvMiniSeries
Pandemic: How to Prevent an Outbreak,2020,16+,6.4,50/100,0,0,0,1,TRUE,2583,800000,100000,TRUE,TRUE,2020-01-22,1,tt11497904,tvMiniSeries
Night on Earth,2020,7+,8.2,60/100,0,0,0,1,TRUE,3586,13100000,1300000,TRUE,TRUE,2020-01-29,1,tt11497922,tvMiniSeries
Valentino,2020,"",5.5,40/100,0,0,0,1,TRUE,169,500000,,FALSE,FALSE,,1,tt11508212,tvSeries
Bangkok Buddies,2019,all,6.8,29/100,0,0,0,1,TRUE,13,100000,,TRUE,TRUE,,1,tt11513508,tvSeries
Hyena,2020,"",7.8,47/100,0,0,0,1,TRUE,576,8100000,200000,TRUE,TRUE,2020-02-21,1,tt11534164,tvSeries
Handsome Siblings,2020,"",8.2,49/100,0,0,0,1,TRUE,486,12900000,200000,FALSE,FALSE,2020-01-16,1,tt11541444,tvSeries
Omniscient,2020,18+,6.4,53/100,0,0,0,1,TRUE,1742,2200000,200000,TRUE,TRUE,2020-01-29,1,tt11542920,tvSeries
Find Yourself,2020,"",7.8,53/100,0,0,0,1,TRUE,87,8900000,100000,TRUE,TRUE,,1,tt11569628,tvSeries
The Pharmacist,2020,"",7.7,60/100,0,0,0,1,TRUE,5945,10300000,2100000,TRUE,TRUE,2020-02-05,1,tt11600174,tvMiniSeries
Sweet Home,2020,"",7.4,65/100,0,0,0,1,TRUE,11584,185000000,17300000,TRUE,TRUE,2020-12-18,2,tt11612120,tvSeries
The Midnight Gospel,2020,18+,8.2,74/100,0,0,0,1,TRUE,13374,11500000,1400000,TRUE,TRUE,2020-04-20,1,tt11639414,tvSeries
The Cabin with Bert Kreischer,2020,18+,7.3,49/100,0,0,0,1,TRUE,1294,2400000,300000,TRUE,TRUE,2020-10-13,1,tt11666848,tvSeries
Great Pretender,2020,18+,8,69/100,0,0,0,1,TRUE,3135,5800000,500000,TRUE,TRUE,2020-06-01,2,tt11680468,tvSeries
Sing On! Spain,2020,"",6.2,35/100,0,0,0,1,TRUE,110,200000,,TRUE,TRUE,2020-07-24,1,tt11698668,tvSeries
Love Is Blind,2020,18+,6.1,65/100,0,1,0,2,FALSE,5104,577800000,19600000,TRUE,TRUE,2020-02-13,5,tt11704040,tvSeries
Nadiya Bakes,2020,"",7.1,41/100,0,0,0,1,TRUE,170,2200000,200000,TRUE,TRUE,2021-02-12,1,tt11714872,tvSeries
Country Comfort,2021,7+,6.9,52/100,0,0,0,1,TRUE,2408,14200000,1600000,TRUE,TRUE,2021-03-19,1,tt11717394,tvSeries
Taj Mahal 1989,2020,"",7.5,50/100,0,0,0,1,TRUE,1322,600000,100000,TRUE,TRUE,2020-02-14,1,tt11725706,tvSeries
Total Drama Island,2007,7+,7.2,61/100,0,0,0,1,TRUE,8767,60700000,3500000,FALSE,FALSE,,1,tt1173427,tvSeries
Babies,2020,"",7,46/100,0,0,0,1,TRUE,639,3300000,300000,TRUE,TRUE,2020-02-21,2,tt11744632,tvSeries
The Daily Life of the Immortal King,2020,16+,7.4,53/100,0,0,0,1,TRUE,303,3000000,400000,FALSE,FALSE,,2,tt11755260,tvSeries
Hospital Playlist,2020,"",8.7,65/100,0,0,0,1,TRUE,2417,111400000,2400000,TRUE,TRUE,2020-03-12,2,tt11769304,tvSeries
Rugal,2020,"",6.4,49/100,0,0,0,1,TRUE,621,18400000,400000,TRUE,TRUE,2020-03-28,1,tt11769798,tvSeries
"Hi Bye, Mama!",2020,"",8,48/100,0,0,0,1,TRUE,1142,19000000,400000,TRUE,TRUE,2020-02-22,1,tt11804034,tvSeries
The Trials of Gabriel Fernandez,2020,18+,8.1,64/100,0,0,0,1,TRUE,9061,13100000,1100000,TRUE,TRUE,2020-02-26,1,tt11822998,tvMiniSeries
Fary: Hexagone,2020,"",6.5,40/100,0,0,0,1,TRUE,108,400000,200000,TRUE,TRUE,2020-03-12,2,tt11823028,tvSeries
Vampires,2020,18+,5.6,54/100,0,0,0,1,TRUE,1038,2900000,300000,TRUE,TRUE,2020-03-20,1,tt11829316,tvSeries
Buddi,2020,all,6.9,36/100,0,0,0,1,TRUE,39,2500000,700000,FALSE,FALSE,2020-03-20,2,tt11829340,tvSeries
Mighty Express,2020,all,5,40/100,0,0,0,1,TRUE,74,25800000,5300000,TRUE,TRUE,2020-09-22,7,tt11860336,tvSeries
Love on the Spectrum,2019,all,8.5,59/100,0,0,0,1,TRUE,3209,6100000,700000,TRUE,TRUE,2022-05-18,1,tt11904786,tvSeries
She,2020,18+,6.5,62/100,0,0,0,1,TRUE,2939,18900000,1800000,TRUE,TRUE,2020-03-20,2,tt11905720,tvSeries
Beyblade Burst Rise,2020,7+,6.5,44/100,0,0,0,1,TRUE,97,10900000,500000,FALSE,FALSE,,1,tt11916718,tvSeries
Control Z,2020,18+,6.9,61/100,0,0,0,1,TRUE,5288,32500000,2100000,TRUE,TRUE,2020-05-22,3,tt11937662,tvSeries
Daughter From Another Mother,2021,18+,7.4,54/100,0,0,0,1,TRUE,1170,76700000,3100000,TRUE,TRUE,2021-01-20,3,tt11937732,tvSeries
Who Killed Sara?,2021,18+,6.4,71/100,0,0,0,1,TRUE,9533,47700000,4000000,TRUE,TRUE,2021-03-24,3,tt11937816,tvSeries
J-Style Trip,2020,16+,5.4,37/100,0,0,0,1,TRUE,95,100000,,TRUE,TRUE,2020-03-21,1,tt11942052,tvSeries
Ladies Up,2020,"",4.3,35/100,0,0,0,1,TRUE,201,100000,,TRUE,TRUE,2020-03-27,1,tt11942100,tvSeries
Over Christmas,2020,"",6.7,44/100,0,0,0,1,TRUE,1672,1900000,700000,TRUE,TRUE,2020-11-27,1,tt11951234,tvMiniSeries
History 101,2020,7+,6.8,56/100,0,0,0,1,TRUE,3452,7700000,700000,TRUE,TRUE,2020-05-22,2,tt11958648,tvSeries
The Innocence Files,2020,18+,8,65/100,0,0,0,1,TRUE,2252,9400000,500000,TRUE,TRUE,2020-04-15,1,tt11958922,tvMiniSeries
How to Fix a Drug Scandal,2020,18+,7,56/100,0,0,0,1,TRUE,2564,5700000,900000,TRUE,TRUE,2020-04-01,1,tt11958942,tvMiniSeries
Fatma,2021,"",7.5,61/100,0,0,0,1,TRUE,6071,2700000,300000,TRUE,TRUE,2021-04-27,1,tt11961378,tvSeries
Trial by Media,2020,16+,7.2,65/100,0,0,0,1,TRUE,2463,4700000,300000,TRUE,TRUE,2020-05-11,1,tt11963042,tvSeries
Shaun the Sheep: Adventures from Mossy Bottom,2020,"",8.1,46/100,0,0,0,1,TRUE,346,35800000,7400000,TRUE,TRUE,2020-03-16,1,tt11983342,tvSeries
Too Hot to Handle,2020,18+,4.6,61/100,0,0,0,1,TRUE,8405,231500000,19600000,TRUE,TRUE,2020-04-17,5,tt12004280,tvSeries
BNA,2020,16+,7.2,65/100,0,0,0,1,TRUE,1771,3500000,300000,TRUE,TRUE,2020-03-20,1,tt12013558,tvSeries
Absurd Planet,2020,7+,3.9,40/100,0,0,0,1,TRUE,1321,9900000,1000000,TRUE,TRUE,2020-04-22,1,tt12027008,tvSeries
Middleditch & Schwartz,2020,18+,8.6,72/100,0,0,0,1,TRUE,4072,500000,100000,TRUE,TRUE,2020-04-21,1,tt12027034,tvSeries
Japan Sinks: 2020,2020,18+,6.4,56/100,0,0,0,1,TRUE,2459,1800000,200000,TRUE,TRUE,2020-07-09,1,tt12031040,tvMiniSeries
"Wait, My Youth",2019,all,8.6,39/100,0,0,0,1,TRUE,82,3300000,100000,FALSE,FALSE,,1,tt12071466,tvMiniSeries
The Victims' Game,2020,18+,7.4,51/100,0,0,0,1,TRUE,1035,2900000,100000,TRUE,TRUE,2020-04-30,1,tt12079212,tvSeries
The Forest of Love: Deep Cut,2020,"",6.8,43/100,0,0,0,1,TRUE,291,200000,,FALSE,FALSE,2020-04-30,1,tt12079236,tvMiniSeries
Zero Chill,2021,"",5.7,49/100,0,0,0,1,TRUE,1031,19200000,2100000,TRUE,TRUE,2021-03-15,1,tt12083014,tvSeries
Inhuman Resources,2020,"",7.2,50/100,0,0,0,1,TRUE,3250,10600000,800000,TRUE,TRUE,2020-05-15,1,tt12101170,tvMiniSeries
True: Terrific Tales,2020,"",5.5,32/100,0,0,0,1,TRUE,11,6000000,3000000,TRUE,TRUE,2020-05-12,1,tt12140808,tvSeries
Almost Happy,2020,"",6.8,41/100,0,0,0,1,TRUE,608,700000,,FALSE,FALSE,2020-05-01,2,tt12146940,tvMiniSeries
Cooked With Cannabis,2020,18+,6.6,48/100,0,0,0,1,TRUE,268,4500000,500000,FALSE,FALSE,2020-04-20,1,tt12176398,tvSeries
The Unremarkable Juanquini,2020,"",4.4,36/100,0,0,0,1,TRUE,159,1100000,200000,TRUE,TRUE,2020-05-15,2,tt12189308,tvSeries
"Coronavirus, Explained",2020,7+,7.6,55/100,0,0,0,1,TRUE,1851,100000,,TRUE,TRUE,2020-04-26,1,tt12189310,tvMiniSeries
Lenox Hill,2020,"",8.7,70/100,0,0,0,1,TRUE,1952,13000000,400000,TRUE,TRUE,2020-06-10,1,tt12190580,tvSeries
The Big Flower Fight,2020,"",7.4,56/100,0,0,0,1,TRUE,918,2800000,200000,TRUE,TRUE,2020-05-18,1,tt12200714,tvSeries
Mystic Pop-up Bar,2020,16+,8,54/100,0,0,0,1,TRUE,1298,11000000,400000,TRUE,TRUE,2020-05-20,1,tt12246190,tvSeries
Jeffrey Epstein: Filthy Rich,2020,18+,7.1,69/100,0,0,0,1,TRUE,19381,10000000,1400000,TRUE,TRUE,2020-05-27,1,tt12312250,tvMiniSeries
Ju-On: Origins,2020,18+,6.1,60/100,0,0,0,1,TRUE,3804,2700000,400000,TRUE,TRUE,2020-07-03,1,tt12313914,tvMiniSeries
Power Rangers Dino Fury,2021,7+,6.8,52/100,0,0,0,1,TRUE,179,104300000,4700000,FALSE,FALSE,2021-06-14,2,tt12360292,tvSeries
The Search,2020,"",5.5,44/100,0,0,0,1,TRUE,540,4700000,700000,TRUE,TRUE,2020-06-12,1,tt12364156,tvMiniSeries
Floor is Lava,2020,all,5.3,51/100,0,0,0,1,TRUE,1827,67900000,9500000,TRUE,TRUE,2020-06-19,3,tt12370124,tvSeries
We Are the Champions,2020,"",7.1,50/100,0,0,0,1,TRUE,1120,2500000,300000,TRUE,TRUE,2020-11-17,1,tt12409154,tvSeries
Paranormal,2020,7+,8.5,71/100,0,0,0,1,TRUE,68725,2700000,200000,TRUE,TRUE,2020-11-05,1,tt12411074,tvSeries
Home Game,2020,"",7.1,46/100,0,0,0,1,TRUE,709,2300000,200000,TRUE,TRUE,2020-06-26,1,tt12429046,tvSeries
It's Okay to Not Be Okay,2020,16+,8.8,70/100,0,0,0,1,TRUE,12841,94900000,2100000,TRUE,TRUE,2020-06-20,1,tt12451520,tvMiniSeries
Word of Honor,2021,"",9.1,65/100,0,0,0,1,TRUE,1924,5100000,100000,FALSE,FALSE,,1,tt12458172,tvSeries
Sisyphus,2021,"",7.1,53/100,0,0,0,1,TRUE,24,31600000,600000,TRUE,TRUE,2021-02-17,1,tt12477912,tvSeries
Twogether,2020,"",8.5,48/100,0,0,0,1,TRUE,311,400000,,TRUE,TRUE,2020-06-26,1,tt12486430,tvSeries
The Good Detective,2020,"",7.5,45/100,0,0,0,1,TRUE,445,19100000,400000,FALSE,FALSE,,2,tt12504214,tvSeries
Graceful Friends,2020,"",6.7,38/100,0,0,0,1,TRUE,94,1700000,,FALSE,FALSE,,1,tt12531492,tvSeries
Say I Do,2020,"",7.8,45/100,0,0,0,1,TRUE,438,1800000,100000,TRUE,TRUE,2020-07-01,1,tt12540060,tvSeries
Dark Desire,2020,18+,6.5,61/100,0,0,0,1,TRUE,4115,70300000,2800000,TRUE,TRUE,2020-07-15,2,tt12540080,tvSeries
Private Lives,2020,"",6.6,46/100,0,0,0,1,TRUE,472,8600000,300000,TRUE,TRUE,2020-10-07,1,tt12560270,tvSeries
Juman,2019,"",5.4,43/100,0,0,0,1,TRUE,71,900000,,FALSE,FALSE,,1,tt12567164,tvSeries
Indian Matchmaking,2020,16+,6.2,56/100,0,0,0,1,TRUE,2738,53200000,1600000,TRUE,TRUE,2020-07-16,3,tt12580168,tvSeries
Down to Earth with Zac Efron,2020,7+,8.1,67/100,0,0,0,1,TRUE,5553,3000000,200000,FALSE,FALSE,2020-07-10,1,tt12585152,tvSeries
Southern Survival,2020,"",5.7,37/100,0,0,0,1,TRUE,269,1900000,200000,TRUE,TRUE,2020-07-03,1,tt12588286,tvSeries
Skin Decision: Before and After,2020,"",5.8,39/100,0,0,0,1,TRUE,338,4300000,400000,TRUE,TRUE,2020-07-15,1,tt12588326,tvSeries
Fear City: New York vs The Mafia,2020,18+,7.1,65/100,0,0,0,1,TRUE,6171,10500000,1800000,TRUE,TRUE,2020-07-22,1,tt12588372,tvMiniSeries
The Business of Drugs,2020,18+,7.2,53/100,0,0,0,1,TRUE,1415,6000000,600000,TRUE,TRUE,2020-07-14,1,tt12588416,tvMiniSeries
The Great Heist,2020,18+,7.3,61/100,0,0,0,1,TRUE,2133,5900000,800000,TRUE,TRUE,2020-08-14,1,tt12624844,tvSeries
The Underclass,2020,"",6.2,38/100,0,0,0,1,TRUE,39,1500000,100000,TRUE,TRUE,,1,tt12665438,tvSeries
Mismatched,2020,18+,5.5,49/100,0,0,0,1,TRUE,3142,12200000,1000000,TRUE,TRUE,2020-11-20,2,tt12719250,tvSeries
Mystery Lab,2020,7+,7.7,50/100,0,0,0,1,TRUE,614,700000,100000,TRUE,TRUE,2020-08-04,1,tt12723962,tvSeries
Paprika,2018,all,,21/100,0,0,0,1,TRUE,12,100000,,FALSE,FALSE,,1,tt12740488,tvSeries
The Witcher: A Look Inside the Episodes,2020,"",7.1,42/100,0,0,0,1,TRUE,62,100000,100000,TRUE,TRUE,2020-09-02,1,tt12748032,tvSeries
Sing On! Germany,2020,"",5.5,32/100,0,0,0,1,TRUE,113,200000,,TRUE,TRUE,2020-08-07,1,tt12748264,tvSeries
Word Party Songs,2020,"",3.2,30/100,0,0,0,1,TRUE,8,1700000,1600000,TRUE,TRUE,2020-08-07,1,tt12748268,tvSeries
World's Most Wanted,2020,16+,7.2,52/100,0,0,0,1,TRUE,1981,13500000,1500000,TRUE,TRUE,2020-08-05,1,tt12753698,tvSeries
Immigration Nation,2020,16+,7.4,57/100,0,0,0,1,TRUE,972,1800000,100000,TRUE,TRUE,2020-08-03,1,tt12754910,tvSeries
Tiny Creatures,2020,7+,4.9,40/100,0,0,0,1,TRUE,1018,6100000,800000,TRUE,TRUE,2020-08-07,1,tt12759334,tvSeries
(Un)Well,2020,18+,6.4,50/100,0,0,0,1,TRUE,871,4800000,400000,TRUE,TRUE,2020-08-12,1,tt12759384,tvSeries
High Score,2020,16+,7.4,65/100,0,0,0,1,TRUE,6632,4100000,400000,TRUE,TRUE,2020-08-19,1,tt12759400,tvMiniSeries
DeMarcus Family Rules,2020,"",6.2,34/100,0,0,0,1,TRUE,81,400000,100000,TRUE,TRUE,2020-08-19,1,tt12759420,tvSeries
Alien TV,2020,7+,6.2,42/100,0,0,0,1,TRUE,209,41500000,3800000,TRUE,TRUE,2020-08-21,2,tt12765530,tvSeries
Bhaag Beanie Bhaag,2020,"",3.8,34/100,0,0,0,1,TRUE,3608,400000,100000,TRUE,TRUE,2020-12-04,1,tt12775836,tvSeries
Toradora!,2008,16+,8,66/100,0,1,0,2,FALSE,11548,8500000,400000,FALSE,FALSE,,1,tt1279024,tvSeries
Sweet Tooth,2021,16+,7.9,84/100,0,0,0,1,TRUE,17418,316800000,6900000,TRUE,TRUE,2021-06-04,2,tt12809988,tvSeries
Do Do Sol Sol La La Sol,2020,"",7.4,48/100,0,0,0,1,TRUE,966,19200000,500000,TRUE,TRUE,2020-10-07,1,tt12850262,tvMiniSeries
Record of Youth,2020,16+,7.3,47/100,0,0,0,1,TRUE,1524,45400000,1100000,TRUE,TRUE,2020-09-07,1,tt12850322,tvSeries
Dead Set,2008,18+,7.6,74/100,0,0,0,1,TRUE,18887,100000,,FALSE,FALSE,,1,tt1285482,tvMiniSeries
Start-Up,2020,16+,8.1,60/100,0,0,0,1,TRUE,5189,58800000,1300000,TRUE,TRUE,2020-10-17,1,tt12867810,tvSeries
Felipe Esparza: Bad Decisions,2020,"",5,36/100,0,0,0,1,TRUE,135,500000,100000,TRUE,TRUE,2020-09-01,1,tt12875768,tvMiniSeries
La Línea: Shadow of Narco,2020,"",6.4,39/100,0,0,0,1,TRUE,326,1200000,200000,TRUE,TRUE,2020-09-09,1,tt12875794,tvMiniSeries
The School Nurse Files,2020,"",6.5,44/100,0,0,0,1,TRUE,875,2600000,200000,TRUE,TRUE,2020-09-25,1,tt12879522,tvSeries
Million Dollar Beach House,2020,18+,4.1,40/100,0,0,0,1,TRUE,642,2100000,300000,TRUE,TRUE,2020-08-26,1,tt12882136,tvSeries
Bread Barbershop,2020,"",8.8,44/100,0,0,0,1,TRUE,78,45600000,3200000,TRUE,FALSE,,3,tt12912830,tvSeries
Chef's Table: BBQ,2020,"",7.8,49/100,0,0,0,1,TRUE,777,2500000,300000,TRUE,TRUE,2020-09-02,1,tt12917170,tvMiniSeries
Bad Boy Billionaires: India,2020,"",8,52/100,0,0,0,1,TRUE,2601,2300000,500000,TRUE,TRUE,2020-10-04,1,tt12923630,tvSeries
Sing On!,2020,"",6.3,39/100,0,0,0,1,TRUE,308,4000000,300000,TRUE,TRUE,2020-09-16,1,tt12923734,tvSeries
The Playbook,2020,"",7.5,49/100,0,0,0,1,TRUE,1111,1700000,200000,TRUE,TRUE,2020-09-22,1,tt12930602,tvSeries
A Perfect Crime,2020,"",7.3,54/100,0,0,0,1,TRUE,1163,800000,100000,TRUE,TRUE,2020-09-25,1,tt12939836,tvMiniSeries
Becoming,2020,16+,6.8,38/100,0,0,1,2,FALSE,39,1000000,,TRUE,TRUE,2020-05-06,1,tt12944764,tvSeries
Country Ever After,2020,"",6.5,36/100,0,0,0,1,TRUE,122,1200000,100000,TRUE,TRUE,2020-11-06,1,tt12987872,tvSeries
"Good Morning, Verônica",2020,"",7.6,52/100,0,0,0,1,TRUE,2747,29300000,2900000,TRUE,TRUE,2020-10-01,2,tt12987918,tvSeries
"Whose Vote Counts, Explained",2020,"",7.3,48/100,0,0,0,1,TRUE,882,200000,100000,TRUE,TRUE,2020-09-28,1,tt13005714,tvMiniSeries
Dad Stop Embarrassing Me!,2021,7+,4.2,48/100,0,0,0,1,TRUE,1525,5000000,600000,TRUE,TRUE,2021-04-14,1,tt13018090,tvSeries
La Révolution,2020,16+,6.5,54/100,0,0,0,1,TRUE,4741,9600000,800000,TRUE,TRUE,2020-10-16,1,tt13044528,tvSeries
The Platform,2020,"",7,45/100,0,0,0,1,TRUE,218,300000,,FALSE,FALSE,,3,tt13057984,tvSeries
Deaf U,2020,18+,6.4,45/100,0,0,0,1,TRUE,398,100000,,TRUE,TRUE,2020-10-09,1,tt13070478,tvSeries
Last Chance U: Basketball,2021,18+,8.4,57/100,0,0,0,1,TRUE,1827,16300000,400000,TRUE,TRUE,2021-03-10,2,tt13087512,tvSeries
The Umbrella Academy,2019,16+,8,87/100,0,0,0,1,TRUE,171030,123200000,5800000,TRUE,TRUE,2019-02-15,3,tt1312171,tvSeries
The Sons of Sam: A Descent Into Darkness,2021,18+,7,60/100,0,0,0,1,TRUE,5213,6900000,700000,TRUE,TRUE,2021-05-05,1,tt13156316,tvMiniSeries
Dream Home Makeover,2020,all,5.6,47/100,0,0,0,1,TRUE,860,28800000,3800000,TRUE,TRUE,2020-10-16,4,tt13161310,tvSeries
Detention,2020,"",6.3,46/100,0,1,0,2,FALSE,353,800000,100000,TRUE,TRUE,2020-12-05,1,tt13175760,tvMiniSeries
Paava Kadhaigal,2020,"",8.1,54/100,0,0,0,1,TRUE,4658,500000,,TRUE,TRUE,2020-12-18,1,tt13206988,tvMiniSeries
Carmel: Who Killed Maria Marta?,2020,"",7.1,54/100,0,0,0,1,TRUE,1820,1700000,200000,TRUE,TRUE,2020-11-05,1,tt13244092,tvMiniSeries
Holiday Home Makeover with Mr. Christmas,2020,all,5.7,38/100,0,0,0,1,TRUE,240,2100000,800000,TRUE,TRUE,2020-11-18,1,tt13255112,tvSeries
Run On,2020,"",7.6,56/100,0,0,0,1,TRUE,1453,52700000,1300000,TRUE,TRUE,2020-12-16,1,tt13271834,tvSeries
The Uncanny Counter,2020,"",8.2,58/100,0,0,0,1,TRUE,3236,125600000,5800000,TRUE,TRUE,2020-11-28,1,tt13273826,tvSeries
Thus Spoke Kishibe Rohan,2021,"",7.7,49/100,0,0,0,1,TRUE,86,1200000,200000,TRUE,TRUE,2021-02-18,1,tt13280486,tvMiniSeries
The House Arrest of Us,2020,7+,7.5,46/100,0,0,0,1,TRUE,79,1900000,200000,TRUE,TRUE,,1,tt13280838,tvSeries
